Genes	wt_DMSO_1	wt_DMSO_2	wt_DMSO_3	wt_CPT_1	wt_CPT_2	wt_CPT_3	miR34a_del_DMSO_1	miR34a_del_DMSO_2	miR34a_del_DMSO_3	miR34a_del_CPT_1	miR34a_del_CPT_2	miR34a_del_CPT_3
LL0000005682	3979.02	3594.54	3520.81	1487.06	3092.63	4921.74	2843.63	4979.27	4066.2	3760.94	2681.72	2309.57
LL0000005683	11	8	12	16	20	26.83	7	12	7	29	12	18
LL0000005684	839.24	909.64	760.68	631.31	1030.29	1435.82	597.03	835.01	676.17	1192.82	707.27	710.5
LL0000005685	266.14	211	272.43	214.65	336.92	370.07	161.89	268	270	280.56	231.72	192.14
LL0000005686	845.67	842.76	659.11	641.38	968.4	1063.99	538.47	994.19	761.99	882.2	636.72	501.26
LL0000005687	200.94	232.3	214.35	163.23	235	335.99	160.43	234.69	210.85	348.22	191.58	182.97
LL0000005688	511.04	428.41	531.31	424.03	560.63	903.08	310.07	481.54	472.28	967.82	570.02	542.05
LL0000005689	941.23	762.43	1009.28	576.99	855.71	962.01	619.06	1086.83	945.86	798.2	572.01	453.99
LL0000005690	338.07	411.48	443.62	301.91	619.29	662.29	225.6	404.81	312.52	610.37	364.5	385.14
LL0000005691	289.12	364.5	381.14	207.99	338.38	425.16	234.35	365.37	327.54	399.58	253.79	315.65
LL0000005692	328.21	272.93	336.86	274.19	436.98	793.75	229.15	365.04	344.24	714.22	533.1	447.26
LL0000005693	86	66.93	97.03	19.51	15	21	56.94	67.12	55	34	23	12
LL0000005694	0	0	0	0	0	0	0	1	0	0	1	0
LL0000005695	410.49	443.84	448.03	537.91	784.07	1028.99	464.84	562.89	459.88	928.04	604.33	643.08
LL0000005696	985.98	1094.8	977.93	669.98	1156.04	1281.39	1045.97	1278.2	1005.28	1304.32	759	759.61
LL0000005697	2	10	2	1	1	4	1	3	2	1	2	0
LL0000005698	136.89	139.65	129.83	121.22	206.46	240.91	95.36	151.88	136.02	246.76	163.72	142.48
LL0000005699	43	25	13.32	9	16.01	21	26	58	45	23	16.07	13
LL0000005700	7	6	10	7.89	20	47	9	8	5	49	21	28
LL0000005701	1675.44	1767.77	1751.66	1074.74	1279.39	1359.87	1233.6	2018.78	1521.33	1561.74	1042.13	843.03
LL0000005702	1	4	1	1.25	5	10	3	2	0	1	0	5
LL0000005703	182.96	195.54	209.72	197	276.03	476.46	135.84	209	196.99	348.23	245.69	233.53
LL0000005704	841.53	780.98	957.66	434.85	486.53	792.84	685.94	998.82	798.92	719.94	546	502.28
LL0000005705	51.57	83	112.52	46	90.99	122	49	42	53	67	77.84	58.99
LL0000005706	236.35	288.48	345.88	366.79	573.32	599.39	193.04	268.86	189.73	673.63	330.49	413.4
LL0000005707	131.23	144.48	175.32	98.16	125.01	131.58	106.94	127.95	104.04	219.01	90.07	107.97
LL0000005708	48880.99	44026.33	48940.3	28367.89	40048.67	44305.42	33542.5	56905.19	47977.7	47702.64	31744.78	28116.87
LL0000005709	51667.98	58332.84	57432.27	16886.21	27909.41	33432.95	35465.49	66841.85	61045.48	36281.31	24748.12	19171.1
LL0000005710	520.51	523.19	633.9	372.69	678.93	1113.14	335.36	441.55	475.64	930.94	707.39	535.83
LL0000005711	143.02	112.99	144.33	142.47	176.91	260.03	130.01	135.98	123.98	255.1	232.03	197.79
LL0000005712	76.67	69.93	89.17	107	206.76	228.95	62	116.99	78	202.51	139	109.68
LL0000005713	48.68	32.77	22.94	19.7	35.24	29.23	29.91	34.67	23.33	41.41	32.43	30.15
LL0000005714	1300.42	1442.69	1249.93	88.01	137.61	68	1131.01	1465.71	1189.13	164.82	45	48.15
LL0000005715	5.01	6	7.98	2	6	5	0	9.46	2	3.43	5	4
LL0000005716	365	349.26	460.64	219.27	456.27	585.27	256	463.8	321.99	552.56	297.2	301.65
LL0000005717	335.54	528.28	586.8	1184.32	1760.61	2484.42	203.2	331.12	362	1724.81	1189.32	1026.38
LL0000005718	782.16	950.7	939.42	949.86	1567.34	2022.25	593.33	862.9	746.66	1462.11	961.16	840.62
LL0000005719	1672.68	1721.6	1742	2279.06	3814.33	4713.32	1216.02	2008.9	1570.07	3210.52	2251.24	1911.35
LL0000005720	871.84	936.48	841.61	594.43	753.49	836.38	874.74	1005.59	843.8	901.68	530.78	546
LL0000005721	59	77.93	95.05	46.7	80	122	63.96	68.33	96.09	109.12	71.95	63
LL0000005722	841.85	963.4	1048.91	341.49	569.75	705.86	707.23	973.7	918.76	578.23	421.78	317.6
LL0000005723	9217.33	9436.88	8539.48	10690.07	12555.7	13515.46	6452.99	13848.71	9528.64	13197.62	8774.92	8102.8
LL0000005724	5734.5	6353.69	6211.64	1312.22	1888.42	1908.3	4974	6871.75	5022.15	1768.23	1023.93	863.37
LL0000005725	1330.8	1333.18	1233.66	1007.81	1548.12	1765.24	901.01	1540.87	1544.09	1393.64	995.89	898.05
LL0000005726	3323	3987.17	3286.16	2831.95	3929.73	3878.22	2290.7	3685.58	3271.49	3208.89	2092.82	2064.98
LL0000005727	67939.61	66360.58	82676.55	36978.76	59534.22	70715.36	53241.26	73899.93	54978.44	54791.94	31366.23	34065.13
LL0000005728	88063.22	90430.09	96597.24	62839.41	96226.54	98713.23	67745.75	104493.68	80821.8	73270.27	41646.82	42804.53
LL0000005729	6942.55	5267.2	6139.85	5613.63	6331.75	7570.3	4074.5	7915.97	7019.76	8714.77	5522.07	4898.62
LL0000005730	3	2	2.04	2	5.01	8.01	5.02	6	3	7.07	1	5
LL0000005731	215.29	214	275.97	130	211.04	288	225	300.98	318.03	234.95	120.08	111.02
LL0000005732	340	365.99	526.86	376.02	609.33	852.09	264.5	425.02	450.84	908.04	577.27	469.94
LL0000005735	1242.86	1166.79	1269.98	137.79	244	265.67	976.99	1360.61	1096.81	281.11	194	173.33
LL0000005736	3501.51	3165.96	3405.6	873.7	1245.7	1491.63	3161.65	4191.08	3217.04	1486.73	863.2	767.21
LL0000005737	1194.02	1403.57	1182.6	499.15	856.33	1188.63	902.38	1519.19	1343.14	1018.35	719	638.31
LL0000005738	8	1	0	1	2	3	0	1	1	4	2	3
LL0000005739	1	1	0	0	0	3	0	0	0	0	0	1
LL0000005740	23	21.99	25	25.99	40	47.57	27.54	23.04	19	43.54	28.04	26
LL0000005741	32	21.97	27.01	10.03	11.26	12	24	40.78	29.05	13.12	7	5.98
LL0000005742	3	5	7	1	1	1	5.4	5	8	3.01	1	1
LL0000005743	7	4	6.84	2	2	8	5	6	2	4	1	1
LL0000005745	16	10.59	10.02	0	7	2	13.01	16	10	8.92	6	0
LL0000005746	1194.89	1167.84	946.44	392.77	500.14	417.06	871.93	1221.45	1047.45	527.18	291.96	364.26
LL0000005747	255.29	269.27	268.02	294	411.81	583.24	241.79	297.61	237	436.14	217	250.26
LL0000005748	435.84	445.04	511.81	456.68	522.49	562.26	458.69	480.48	374.31	649.08	381.34	464.75
LL0000005749	214.56	226	207.83	87	100.85	117.03	156.44	235.95	168	130.34	77.06	89.03
LL0000005750	132.04	179.02	197.22	57.03	71.05	108.24	136.99	145.98	145.96	123.48	77	62.11
LL0000005751	304.97	329.21	384.34	159	246.09	354.69	305.29	523.08	345.37	281.69	234.34	180
LL0000005752	117.69	54	81.99	25.01	38	55	64.11	55	60.52	31.18	20	25
LL0000005753	426.64	409.83	458.12	430.31	594.66	699.99	274.91	515.49	394.28	521.44	346.95	292.07
LL0000005754	3	2	4	3	0	8	3	1	2	4	5	3
LL0000005755	53	50.6	64.45	67.99	171	269.01	48.69	68	42	245.43	158.99	129.97
LL0000005756	5	7	3	20	79	97	5	6	4	55.66	37	48
LL0000005757	134.79	105.01	155.5	48	89	130	128.51	103	93.01	96	72.93	59
LL0000005758	366.96	386	388.84	260.95	344.76	434.79	280.99	419.14	374	357.63	219.45	200
LL0000005759	443.62	422.59	528.61	587.53	816.03	1144.58	342.41	531.01	454.64	1168.01	744.71	574.69
LL0000005760	55	39.86	48.4	19.92	48.48	62.37	22.82	46.81	36.95	40.66	42.96	23.53
LL0000005761	64.04	56	63.47	29.3	49.03	77.89	51.11	53.98	78.93	64.96	49.27	42.81
LL0000005762	17	29	25	8	23	18	7.01	26	17	12	14	7
LL0000005763	1	0	3	0	4	2	1	2	2	1	2	0
LL0000005764	8.16	11.1	9.07	2.01	0	1	6.03	6.03	14.12	4.04	8.05	3.02
LL0000005765	3.86	0	5.42	4	3.89	1.39	3	0	4	2.33	2.31	3
LL0000005766	431.49	523.97	604.06	115.99	172.74	125.06	425.65	526.97	406.55	205.01	94.98	126
LL0000005767	24	15	20	11	22	28	14	21	18	18.86	15	32
LL0000005768	428.04	444.63	410.8	408.02	728.78	914.3	326.92	496.19	415.97	777.64	478.05	471.74
LL0000005769	12	11	11.01	12	8.96	30	10	19	29	34	20	24
LL0000005770	4.77	9.47	6.33	3.14	9.43	11.08	1.58	0	7.92	22.23	14.34	9.41
LL0000005771	1476.99	1377.73	1534.9	913.29	1339.45	1288.02	1072.49	1069.09	1048.75	1972.29	1002.31	1046.06
LL0000005772	378.31	390.96	414.63	233.42	309.79	548.72	242.85	347.96	295.01	340.3	300.84	241.99
LL0000005773	6	19	14	2	8	18	4	10	12	6	4	7
LL0000005774	851.7	798.44	989.83	782.63	1021.68	1529.81	719.78	914.97	766.38	1338.14	882.4	724.66
LL0000005775	112	122.02	115.58	103	180.1	234	78	111.89	81	122.99	99	89.84
LL0000005776	100.64	71	98	127.69	222.87	376.94	43	89.01	89.2	324.57	208.5	175.01
LL0000005777	660.05	675.09	884.96	564.69	976.23	1070.81	405.93	638.16	571.01	943.98	754.26	551.4
LL0000005778	177.11	172	161.19	134.86	250.16	392.51	87.13	171.07	151.19	266.26	176.59	163
LL0000005779	7	6	8	11	12	13	1	4	9	6	8	4
LL0000005780	249.85	140.58	195.17	412.81	584	1023.92	173.99	259.3	179.99	715.02	493.96	469.02
LL0000005781	207.9	192.93	199.3	321.55	398.47	324	148.76	171	169	374.16	198.01	239.99
LL0000005782	1247.5	978.46	1236.02	1035.37	1498.97	2194.77	815.83	1242.17	1005.84	1556.78	1053.82	900.94
LL0000005783	345.05	289.98	327.27	271.14	415.53	611	231.99	336.98	323.89	590.31	426.9	378
LL0000005784	25	18	29	7	9	9	11	15.3	15	14	8	4
LL0000005785	688.8	638.63	800.3	504.34	844.46	1371.47	506	618.28	595.91	1125.67	791.37	659.96
LL0000005786	3496.01	3334.93	3607.76	3423.61	4097.16	5651.18	2458.38	3943.61	3204.93	4837.35	3363.41	2951.38
LL0000005787	21.11	24.02	41	12	12	20	25	22	23	7.78	1.33	10
LL0000005788	18	21	24	22.32	54	94	13	30	27	82	55	44.41
LL0000005789	4.99	3.49	1	22	13.93	15	4	7.12	4.99	23.92	19.74	22.37
LL0000005790	266.06	292.95	311.36	245.61	374.02	507.04	204	320.99	343.02	410	342.08	314.39
LL0000005791	385.96	419.64	537.39	125.74	181.77	208.88	307.14	420.38	412.32	186.06	144.75	127.47
LL0000005792	175	226.79	172.78	97.88	117.39	151	126.36	185.19	146.82	173.33	125.9	94
LL0000005793	1	2	2	0	0	0	0	2	0	0	5.97	1
LL0000005794	0	3	0	0	1	0	0	0	0	0	1	0
LL0000005795	21	26.35	17.01	33	55	82.95	27	24	15	65	53.99	37.17
LL0000005796	1331.61	1478.58	1333.07	919.82	1201.69	1319.34	993.43	1396.08	1310.29	1408.71	1034.18	871.06
LL0000005797	139	95.09	120.16	80.98	156.52	165.01	106.01	147	139	134.14	112	65.05
LL0000005798	93	64	73.58	71	43	71.17	61	78	84.78	54	39.74	45
LL0000005799	471.47	442.47	543.07	352.23	496.23	691.68	262.91	407.95	348.58	668.06	399.52	311.76
LL0000005800	1607.2	1676.11	1933.4	609.51	743.88	718	1287	1602.26	1456.62	996.7	591.54	585.16
LL0000005801	97	101	100.21	24	31	32	54	80	76.67	17	6.98	16
LL0000005802	178	226.72	187.07	46	54	62	138.99	176.01	194	89	48	48
LL0000005803	11	11.02	9.01	3	8	17	6	4	5	14	3.57	0
LL0000005804	1775.55	2261.78	1824.19	1529.49	2226.15	2236.65	1249.4	2252.22	1843.84	1999.55	1399.83	1252.88
LL0000005805	118	158	126	15	30	19	77.11	112.28	128.85	24	22	13
LL0000005806	746.46	674.33	759.99	299.39	396.68	420.23	547.25	945.24	644.08	492.22	285.65	295.92
LL0000005807	1151.74	1182.5	1167.09	407.04	406.13	408.12	964.4	1298.55	1023.27	547.11	335.85	290.67
LL0000005808	200.99	216.56	257	98	160.26	205.52	213	218.03	185	210.97	107.9	139
LL0000005809	24.6	35.74	48.76	10.39	12.29	14.85	38.45	39.28	36.08	12.86	15	8
LL0000005810	1483.78	1531.61	1602.71	642.94	1428.21	2357.39	1163.6	1722.17	1318.97	1897.25	1123.19	1144.39
LL0000005811	598.02	539.08	572.09	413.12	661.57	834.02	534.38	733.03	644.08	668.85	458.06	315.43
LL0000005812	3022.25	3261.68	3274.61	1394.71	3088.37	5542.93	2449.2	3369.46	3272.33	4436.98	3013.13	2735.07
LL0000005813	1084.8	941.27	1115.87	457.8	1053.8	1884.05	855.03	1083.96	1159.37	1454.29	1017.5	983.94
LL0000005814	459.25	609.61	571.88	168.37	232.95	270	364.82	537.96	433.99	390.08	240.81	221.18
LL0000005815	340	386.91	445.91	172.98	324	387.34	269.82	289.99	321.96	339	218.88	199.01
LL0000005816	81.55	57.14	78.64	44.07	51.56	83.74	62.47	77.13	47.11	75.76	44.39	50.25
LL0000005817	162	104.74	146.37	73	91	180.98	87	123.91	135	152	113.59	76
LL0000005818	0	1	1	0	0	0	0	0	0	6	1	0
LL0000005819	45.9	76.93	63.01	100.73	127.44	206.2	45	48.26	46.85	206.45	103.37	100
LL0000005820	1192.35	1141.89	1073.17	699.87	1008.46	1286.96	805.89	1198.37	1142.02	968.96	725.82	600.14
LL0000005821	137.08	132.01	124.07	13.67	46	50	91.04	125.75	76.22	73.28	22	37
LL0000005822	319.03	355.12	355.97	222.95	267.01	331	262.61	384.01	280.98	333.18	206.35	169.73
LL0000005823	227.69	178.65	252.94	297	291.95	269.11	167.09	214.54	184	386.82	236.29	190
LL0000005825	119.45	162.85	92.35	31	56.99	70	88.58	122.82	96	97.29	32.13	45
LL0000005826	1187.32	1075.71	1272.93	1074.21	1533.51	2215.21	875	1477.42	1187.85	1752.24	1408.98	1103.51
LL0000005827	2112.99	2319.28	2188.98	2323.42	2366.58	2919.79	1609.41	2719.69	2300.18	2557.19	1972.96	1589.21
LL0000005828	574.96	541.09	609	484.18	611.54	850	495.71	570.38	503.81	638.94	497.4	419.03
LL0000005829	742.97	747.32	763.13	472.16	631.07	751.51	535.71	938.02	658.83	729.01	436.04	345.04
LL0000005830	766.63	875.1	977.73	306.02	396.44	420.06	662.59	880.88	763.73	456.12	298.98	279.02
LL0000005831	0	1	2	1	1	3	3	2	1	2.01	0	4
LL0000005832	9	4	8.31	7	16	15	10	16	5	8	5	7
LL0000005833	1.04	1	1.01	0	0	1	1.01	2	0	10.98	2	1
LL0000005834	1985.78	2269.83	2367.5	880.1	1186.9	902.29	1914.24	2392.44	1528.78	1122.56	561.02	592.76
LL0000005835	25	31.04	49	3	7	2	36.03	30	24.93	10	6	9.98
LL0000005836	200.38	239	233.01	97.42	137	123.95	171.27	213	180.74	157.99	63.7	106.97
LL0000005837	3068.7	3303.67	2974.73	2363.58	3009.67	3032.05	1934.54	4346.86	3125.15	2648.94	2034.74	1912.82
LL0000005838	469.86	554.6	567.74	442.05	692.71	611.13	456.87	662.32	551.81	891.43	493.53	440.75
LL0000005839	3953.6	4283.74	4351.98	1958.5	2074.98	1920.63	4005.47	4903.38	3821.07	2659.68	1346.48	1478.99
LL0000005840	3598.63	3468.37	3800.78	1993.95	2440.63	2387.13	3355	3995.76	3134.34	2644.73	1777.62	1647.37
LL0000005841	261.2	290.72	284.04	66.03	87.52	59.03	231.47	379.41	239.15	111.69	50	37
LL0000005842	412.03	453.7	441.57	296.78	432.43	650.36	271	459.81	441	482.57	351.64	288.99
LL0000005843	234.38	232.07	242.16	131.55	196.33	308.57	109.59	221.56	228.7	206	160.63	133.34
LL0000005844	1495.84	1268.93	1420.2	1127.27	1288.9	1428.6	1467.66	1868.3	1417.79	1543.56	984.1	879.59
LL0000005845	20.6	17.2	19	11.04	18	23	21	53	22	21	16	9.87
LL0000005846	17.14	46.46	27.15	22.27	33.57	60.95	29.23	43.06	35.51	34.03	33.19	32.81
LL0000005847	250.63	273.87	285.54	154.23	142	161.77	193.01	209.11	196.45	173.42	94.94	101.02
LL0000005848	152	146	190.42	89	107	144	137.03	154.23	117.04	104.26	51	85.16
LL0000005849	432.61	428.86	334.65	197	265.28	362.16	315.79	486.89	452	311.41	224.92	174
LL0000005850	963.89	1021.27	944.02	601.84	971.91	1459.49	676.38	1072.51	924.02	1206.67	800.54	747.93
LL0000005851	512.85	499.35	562.29	350.1	554.15	713.16	323.72	440.8	372.84	596.49	419.84	403.85
LL0000005852	629.62	558.9	768.89	451.91	592.19	944	350.98	579.5	525.33	1032.73	624.27	493.83
LL0000005853	180.19	144.15	178.01	142.98	221	320.81	81.48	168	177.1	316.59	171	157
LL0000005854	25.93	12	24	13	33	26	7	20	22	19	12	9
LL0000005855	703.79	670.23	747.74	450.15	531.7	673.29	699.36	807.42	701.18	637.34	371.75	348.08
LL0000005856	25	13	13	5	8	12	10	17.01	20	5.96	8	6
LL0000005857	6	8	9	2	1	1	6	2	10	3.69	6.23	8
LL0000005858	622.17	692.99	643.21	411.47	671.34	801.07	348.39	791.91	606.2	745.98	548.8	374.98
LL0000005859	5406.13	5721.92	6195.04	4614.17	7286.61	8354.08	4770.73	6170.54	5594.41	8468.61	4995.03	4582.41
LL0000005860	1953.73	1498.22	1643.11	1267.3	1673.3	2402.9	1187.64	1825.74	2070.82	2101.98	1486.34	1206.96
LL0000005861	0	0	0	1	2	3	0	1	0	1	0	1
LL0000005862	366.29	326.47	341.54	447.99	566.42	1048.29	223.11	359.21	324.96	913.16	646.28	471.68
LL0000005863	88.12	64.98	134.28	66	115.01	196	62.43	78	101.16	175.99	197.82	92.67
LL0000005864	116.97	95	145.23	73.03	89.96	132.81	71.04	87.39	81.48	167.14	61	98
LL0000005865	346.02	378.6	369.43	231.51	336.82	535.37	283.15	375	346.17	485.22	301.49	233.97
LL0000005866	113.87	90.47	124.67	79.89	89.67	184	49	77.72	93	187.65	139.15	113
LL0000005867	8	6	3	2	2	0	5	3.17	11	2	1	0
LL0000005868	10	9.26	12	6	8	13	12	6	14	11	10	7
LL0000005869	1038.36	883.1	1065.49	612.48	724.8	951.39	747.98	1128.66	980.74	943.37	656.21	549.93
LL0000005870	174.28	247.29	231.03	290.33	425.98	608.14	147	255.16	199	482.62	283.15	283.75
LL0000005871	666.92	717.32	664.44	207.14	262.02	316.12	528.9	618.37	553.19	375.63	216.17	222.57
LL0000005872	6.04	1	4	0	0	3	1	2.01	0	3.01	2.01	1
LL0000005873	5657.46	5438.18	6070.86	5321.27	6705.13	7890	3833.63	6908.39	5443	6647.18	4605.71	4166.82
LL0000005874	8085.14	7127.55	7931.63	5502.63	8507.94	9959.66	5052.55	9037.74	7588.65	10265.36	6464.67	5107.6
LL0000005875	461.5	439.71	458.76	240	378.2	444	382	414.54	382.77	431.59	224.93	216.02
LL0000005876	107	129.15	146.33	136.77	205.08	418.42	82.03	138.11	130.89	323.77	281.44	194
LL0000005877	0	0	0	0	0	0	0	0	1	3	1.04	0
LL0000005878	5	4	5	3	5	7.01	5	4	8.01	1.03	1.2	4
LL0000005879	2	3.03	2	2	4	13	1	2	1	5	3	1
LL0000005880	0	1	0	0	0	0	0	0	0	0	0	0
LL0000005881	0	2.7	0	0	0	28.16	0	3.25	0	17.82	8.56	4.65
LL0000005882	1	8	11.67	1	4	10	8	9	5	11	7	10
LL0000005883	6	4	4	0	2	1	2	10	3	5.97	1	4
LL0000005884	28	22	10	14.97	10	10	7	20	33	15	6	9
LL0000005885	6	17.43	11	4	9	20	13.25	16	15	25	16	9.13
LL0000005886	5	3.91	11	0	0	8.86	3	6	9	8	0	2
LL0000005887	2	6	1	1	2	2.02	3	1.07	1	0	0	0
LL0000005888	8	3	9	3	1	6	3	2	3	1	0	1
LL0000005889	901.15	670.34	924.9	856.85	1328.18	2089.44	672.28	879.07	947.18	1845.1	1162.56	1046.53
LL0000005890	62	55	61	28.84	36	55.85	32	52.97	38	85	27.96	35.01
LL0000005891	26	9	17	7	4	8	19	26	13	12.98	5	7
LL0000005892	348.21	359.85	398.86	365.08	457.29	476.39	329.18	351.15	365.44	775.59	484.8	385.51
LL0000005893	254.6	275.31	308.84	94	136	153.03	250.99	254.99	225	172.3	110.38	90.91
LL0000005894	18.01	31	20.99	6.5	13.02	9	17.03	41.01	20	15.09	7.7	15.01
LL0000005895	132.01	150.98	126.63	46.66	79.1	83	106.94	178.01	165.02	85.06	43.34	31.87
LL0000005896	434	459.77	523.1	201	302.72	285.75	442	571.83	448.55	329.41	155	174
LL0000005897	1700.25	1679.9	1802.25	1360.08	2184.46	2236.15	1167.89	2116.37	1486.49	1705.14	1251.4	1095.91
LL0000005898	60	38.71	63	36	54.3	93.29	38.97	35	41.45	107.53	71	69.44
LL0000005899	10	17	12.03	10	7	7.05	10	10	10	19	15	4
LL0000005900	2349.68	2424.83	2559.53	1653.33	2629.43	3624.54	1738.87	2414.02	2255.89	3818.87	2733.79	2067.55
LL0000005901	1901.36	1992.43	1868.5	902.6	1366.18	1757.34	1439.38	2311.58	1954.51	1351.55	953.6	878.36
LL0000005902	1027.45	1127.64	1116.22	440.81	722.74	862.93	836.01	1278.94	1151.87	811.07	458.8	406.96
LL0000005903	14.3	14	3	12.64	10.2	17.21	22.77	11.33	11.51	13.75	4.61	7.71
LL0000005904	35	34	33.27	39	58.07	72.44	43	30	39	88.03	56.81	36.93
LL0000005905	179	176	154.5	29	58	79.14	110	192.97	179	77.02	43	48
LL0000005907	8	5	16	4	9	17	6	8.01	6	7	7	6
LL0000005908	75.84	91.16	103.98	51.37	73.19	50.46	61.04	81.66	73.3	100.1	36.28	38
LL0000005909	6660.14	6332.78	6573.67	4226.06	5688.5	5824.11	6143.67	7984.26	6598.98	6034.71	3336.31	3462.56
LL0000005910	404.64	425.98	481.41	295.51	402.81	491.16	390.59	600.61	421	422.83	238.13	243.99
LL0000005911	895.06	786.18	922.95	582.65	817.07	1002.97	758.08	1184.24	865.51	749.05	573.22	452.02
LL0000005912	1121.95	1163.07	1204.83	650.46	804.33	852.55	950.92	1686.59	1221.95	622.99	445.97	396.49
LL0000005913	1478.9	1465.7	1403.54	1193.41	1570.52	1768.63	1244.21	1885.67	1485.37	1708.44	1120.17	938.05
LL0000005914	790.15	832.77	795.01	379.58	473.3	500.17	702.89	927.72	698.08	647.41	350.97	367.59
LL0000005915	551.46	551.68	633.35	623.04	945.21	1105.4	485.99	686.55	579.81	949.51	580.46	491.07
LL0000005916	402.74	368.97	397.75	301.47	333.2	385.87	403.63	504.88	442.71	413.79	236.84	177.93
LL0000005917	1295.31	1212	1400.77	810.91	1073.94	1156.06	1143.62	1325.75	1134.12	1511.9	773.78	778.82
LL0000005918	105.85	73.73	105.11	54	99.91	74	69.12	78.08	81.38	135.81	62.27	93.25
LL0000005919	522.98	552.16	589.39	305.48	490	601.93	381.97	594.81	438.96	605.08	333.94	303.34
LL0000005920	108	131	126.61	124.96	200.99	295.12	121	110.01	78	268	143	117
LL0000005921	781.83	739.77	856.25	574.63	778.75	1016.77	510.91	903.07	800.03	1035.35	772.89	652.86
LL0000005922	1307.75	1059.95	1006.87	918.25	1355.11	1781.19	821.74	1581.7	1306.09	1311.24	924.16	770.12
LL0000005923	2179.3	2057.28	2300.15	1358.11	2007.84	2252.01	1843.51	2696.32	2344.27	2057.19	1265.56	1233.26
LL0000005924	735.92	825.34	963.66	916.69	1286.26	1856.31	681.35	871.51	781.88	1457.91	882.15	789.09
LL0000005925	331.88	314.91	366.24	207	293.66	492.06	248.11	252.64	307.92	430.31	344.55	297.53
LL0000005926	243.26	196.03	274.22	302.77	397.89	566.93	176.73	256.71	222.99	453.88	341.17	347.82
LL0000005927	209.97	188	180.58	122.66	179.8	288.41	122.47	206.54	192.34	308.84	238.76	167.81
LL0000005928	288.29	326.85	345.87	288.69	413.07	502.99	160.68	302.01	300	455.99	352.36	221.98
LL0000005929	8	11	10	4	14	14	19	8	9	17.25	9	16
LL0000005930	5.3	1	2	0	0	2	0	1	0	2.25	1	1
LL0000005931	199.83	197.86	193.9	207.96	353.36	443.94	179	203.72	208.04	324.88	209.91	164.91
LL0000005932	8	10	17	6	9	14	8	11	18	12	5	4.05
LL0000005933	97.68	109	111.94	61.02	86.82	84	75.43	106.33	98.13	106.63	52	54
LL0000005934	31	41.58	50	11	12	13	22	20	37	25	25	18
LL0000005935	0	0	0	0	0	0	0	0	0	6.53	0	0
LL0000005936	62.22	81.48	52.03	102.04	172.5	284.76	41.85	53.93	65.27	263.53	187.48	140.78
LL0000005937	519.86	539.39	476.39	7	43	21	444.78	567.08	601.63	63.88	13	19
LL0000005938	274.9	271.53	281.94	27.9	38	25	262.12	335.03	264.02	47	8.61	11
LL0000005939	722.43	608.27	715.16	517.17	782.16	904.06	628.37	833.98	553.67	959.34	381.98	412.18
LL0000005940	26.98	44	54.73	38	52.83	47	33.01	38.1	23	48.53	40	32
LL0000005941	390.01	398.64	435.66	51.02	74	51	373.06	402.45	333.28	95.89	50.89	40
LL0000005942	109.12	93.02	114.98	6	6	10	70	93.83	84.94	17	5	14
LL0000005943	9	14	19	0	1	4	5.94	22.47	8	0	0	4
LL0000005944	15	17	18	0	0	12	15	14	16	5	1	2
LL0000005945	36	49	41	1	5	1	48	38	31	3.98	3	1
LL0000005946	91.01	105.05	79	1	6	4	62.17	76.99	73	6	1.87	2
LL0000005947	13.01	15	16.02	0	1	5	20	10.13	10.22	7.35	2	2
LL0000005948	52	70	82.21	8.97	34	43	61	69.18	73.01	64.02	24.95	17
LL0000005949	356.91	407.28	435.78	110.81	200.31	162.63	403.75	412.97	287.98	202.1	128.33	150.05
LL0000005950	26	26	30	0	1	6	23	34	26	1	0	2
LL0000005951	18	17.61	23	0	4	2	16.99	27	23.01	8.76	1	2
LL0000005952	32	35	37.76	8	3	7	24.02	40.93	24	8	10.02	3
LL0000005953	56	41	44	3	8	21	70	58	28	15	3	13
LL0000005954	837.28	870	840.63	282	349.45	473.01	641.05	1034.29	787.94	492.82	266.89	231.75
LL0000005955	7.99	13.71	23.75	0	5.64	9.95	4.15	4.97	10.79	3.17	0	5.68
LL0000005956	385	419.57	433.33	416.1	763.9	932.95	204.42	438.19	366.51	568.53	526.87	378.15
LL0000005957	186.02	228	237.95	180	279	384.52	105	221.65	244.1	351	200	235.99
LL0000005958	213	175.96	273	257	322	462.97	99.46	198	164.01	395.55	298	216
LL0000005959	262	299.39	320.07	308.24	438.32	483.01	122.92	356.25	294	486.46	286.21	266.36
LL0000005960	121.69	104.56	197.94	179.68	216.84	236.49	45.49	99.1	73.33	172.57	114.79	89.27
LL0000005961	149	125.65	118.99	187.05	204.99	251	99.41	181.99	165.31	272.83	159.01	147.03
LL0000005962	414	393.99	373.33	232.02	331	527	334.02	467.76	385.95	401.02	302.7	219.23
LL0000005963	531.08	634.58	616.05	47	74	68	453.82	552.71	435.41	103.18	36	44
LL0000005964	321.87	370.93	403.65	158.14	226	253.99	248.01	310	319.02	301.92	117.99	133.08
LL0000005965	1038.17	1370.37	1371.19	95.98	159.4	168.75	820.88	1126.52	1022.91	283.65	133.99	99.14
LL0000005966	2	5.09	5	0	5	3	3	4	2	6	4	2
